Organization,Category,Meeting Day,Meeting Time,Location,Members
Kittredge West Hall,Residence Life,,,,10
Libby Community Council,Residence Life,,,,23
Libby Hall,Residence Life,,,,14
Quad Community Council,Residence Life,,,,3
Residence Life,Residence Life,,,,11
"Residential Quad (Aden, Brackett, Cockrell, Crosman)",Residence Life,,,,14
Sewall Community Council,Residence Life,,,,5
Sewall Hall,Residence Life,,,,11
Smith & Buckingham Community Council,Residence Life,,,,4
Smith Hall,Residence Life,,,,13
Stearns Community Council,Residence Life,,,,2
Stearns East & West,Residence Life,,,,15
Willard & Reed Hall,Residence Life,,,,19
Williams Village East,Residence Life,,,,21
Williams Village East Community Council,Residence Life,,,,3
Williams Village North,Residence Life,,,,12
Williams Village North Community Council,Residence Life,,,,4
American Sign Language Club,Social,,,,111
Association for Students with Disabilities,Social,,"Every other Wednesday from 5:30 pm-7:00 pm, starting Jan 25, 2023",Abram's Lounge on the Third Floor of the C4C,17
Best Buddies at CU,Social,,,,89
Boulder Film Buffs,Social,,Tuesdays 7:00,TBD,32
Boulderite Chess Club,Social,,Every Monday 6:30-8:00 pm,Ketchum Arts and Sciences 1B71,130
Buffs Going Bananas,Social,,,,46
Coffee Club,Social,,9:30,TBD,70
Colorado Evans Scholars,Social,,,,5
Crochet and Conversation,Social,,Fridays 5pm - 6:30 pm,HUMN 160,136
CU Anime Club,Social,,5pm every Friday,CUAC Discord + Hellems 201,74
CU Board Game Club,Social,,Tuesdays at 6pm and Saturdays at 2pm,UMC Cafeteria or other UMC rooms. Join our discord (https://discord.gg/V9KhgZB) or mailing list for specifics.,55
CU Book Club,Social,,TBD,TBD,73
CU Boulder Railroad Club,Social,,Wednesdays 6:00 PM,Idea Forge Commons,7
CU Cornhole Club,Social,,Thursdays 6:00pm,Farrand Field,141
CU Dungeons and Dragons,Social,,,https://discord.gg/Y7yzUhxBsw,103
CU Kathak and Folk Dance Club,Social,,5-6 pm,UMC 457,1
Drag Buffs,Social,,4pm - Fridays,Check Discord - Zoom ID: 8367794235,25
Euchre Club,Social,,,,3
Gender & Sexuality Alliance,Social,,8:00PM MST,"JD Abrams Lounge (3rd floor, C4C)",73
Good Grief!,Social,,"5 PM, Fridays",Farrand Field (under the sign!) or Zoom (as a backup),14
Honor Guard,Social,,tbh,tbh,3
Humans versus Zombies at CU Boulder,Social,,,,1
Iranian Students at CU Boulder,Social,,,,3
Laser Tag & Pancakes,Social,,,,118
Pokemon TCG Boulder,Social,,,,13
Pokemon VGC,Social,,Tuesday 6:30-8,CASE 224,20
Roam Boulder,Social,,7:00pm on Tuesday,Rooms 415-417 in the UMC,20
Say What!?: CU Boulder Hearing Loss Association,Social,,TBD,TBD,3
Senior Class Council,Social,,,,8
Society of Physics Students,Social,,Every Wednesday at 6:00,In person,27
Student Veterans Association,Social,,,,5
Success Enabled Pilots,Social,,"Thursdays, 6:00PM-7:00PM (1800-1900) MST.","STAD 112, is subject to change",8
Super Smash Brothers CU,Social,,6:00-11:00,Flemming Hall 102,9
Survivor at CU Boulder,Social,,Thursday @ 5:30,TBD,19
The Diabetes Link at CU,Social,,Tuesdays at 5PM,UMC 384,5
The Women's Network: CU Boulder,Social,,5:30 PM MT,TBD,10
Thriving Buffs,Social,,,,8
Warhammer Buffs,Social,,,,27
Young Life College,Social,,"Wednesday, 7-9pm",Varies!,28
Yu-Gi-Oh Club,Social,,6-9 pm,Ketchum,6
4Ukraine,"Social Justice, Advocacy & Activism",,,,5
Bandana Project,"Social Justice, Advocacy & Activism",,TBD,TBD,8
Black Student Alliance,"Social Justice, Advocacy & Activism",,,,102
Buffs for Reproductive Rights,"Social Justice, Advocacy & Activism",,"Mondays, 5:00pm",Hellems 104,73
Committee for Equity in Mechanical Engineering,"Social Justice, Advocacy & Activism",,Once a month on Wednesday at 12:00,TBD,3
CU Boulder Marxists,"Social Justice, Advocacy & Activism",,Mondays 5:45pm-7pm,HUMN 186,15
Disability Advocacy Student Union,"Social Justice, Advocacy & Activism",,,,11
End Overdose at CU Boulder,"Social Justice, Advocacy & Activism",,,,16
Fossil Free CU,"Social Justice, Advocacy & Activism",,Monday 6:30-7:30,Over Zoom,5
Health Equity and Applied Learning,"Social Justice, Advocacy & Activism",,"Mondays, 7:30-8:30pm",Duane G2B41,27
International Aerospace Students Association,"Social Justice, Advocacy & Activism",,,,5
Leading Women of Tomorrow,"Social Justice, Advocacy & Activism",,October 13 and every other Thursday at 5,UMC 417,30
MECHA,"Social Justice, Advocacy & Activism",,"Every other Thursday, 5 p.m.",Announced on Instagram page biweekly,5
NAMI on Campus at CU Boulder,"Social Justice, Advocacy & Activism",,Thusdays 5:30pm,Zoom,6
New Era Colorado,"Social Justice, Advocacy & Activism",,,,7
One Love,"Social Justice, Advocacy & Activism",,,,6
Psychologists Advocating for Systemic Training in Antiracism,"Social Justice, Advocacy & Activism",,12:00 pm Friday,Online (during COVID),13
Students Against Campus Sexual Assault,"Social Justice, Advocacy & Activism",,,,8
Students Against Unjust Imprisonment,"Social Justice, Advocacy & Activism",,6:00-7:00PM on Mondays,Zoom,14
Students for United Campus Workers Colorado,"Social Justice, Advocacy & Activism",,,,3
Swap,"Social Justice, Advocacy & Activism",,,,3
The Brazen Project,"Social Justice, Advocacy & Activism",,,,2
United Mexican American Students,"Social Justice, Advocacy & Activism",,"Every Other Thursday, 5:30-7pm",Fleming 177,16
Vegan Justice League,"Social Justice, Advocacy & Activism",,Varies,Varies,9
Young Democratic Socialists of America,"Social Justice, Advocacy & Activism",,,,42
Aerospace Medicine Student and Resident Organization,STEM,,,,20
American Association of Engineers of Indian Origin - University of Colorado - Boulder,STEM,,,,6
American Indian Science and Engineering Society,STEM,,Every other Tuesday 6-7 pm MST,Bold Center in EC or Zoom,6
American Institute of Aeronautics and Astronautics - CU Boulder Branch,STEM,,,,54
American Institute of Chemical Engineers (AIChE),STEM,,,JSCBB Building,32
American Medical Student Association,STEM,,6:00pm Every Monday,HUMN 135,151
American Medical Women's Association,STEM,,Wednesdays 6-7pm,CASE E240,94
American Meteorological Society Student Chapter,STEM,,,,10
American Society for Engineering Management,STEM,,Varies,Varies,28
American Society of Civil Engineers,STEM,,6-7 pm on Thursdays,ECCR 131,18
American Society of Mechanical Engineers,STEM,,,,27
Antimicrobial Resistance Mediation OutReach,STEM,,Wednesdays 5-6pm,We either meet in JSCBB B1B90 or over Zoom - email us for the link!,20
Assembly Language Club,STEM,,Fridays from 7pm to 8pm,The Engineering Center in the Computer Science Department,7
Biomedical Engineering Society,STEM,,Tuesdays at 6 pm,TBD,35
Blueprint Boulder,STEM,,,,16
Chem and Biochem Club,STEM,,"Every other Wednesday, 5:30pm",Ekeley M339,45
Coding Buffs,STEM,,,,2
Colorado Engineer Magazine,STEM,,,,2
Colorado WASH Symposium,STEM,,Mondays 2-3pm,Zoom link available upon request,5
Competitive Programming and Career Building Club,STEM,,Wednesdays at 6:00pm,Join our Discord server,72
Computer Science Graduate Student Association,STEM,,Mondays at noon,Zoom/ECES 112 as available,10
CU Astronomy Club,STEM,,Friday Evening: Time Varies,Varies,10
CU BioStatistics and Public Health Club,STEM,,,,5
CU Blockchain,STEM,,2:00 PM,CSEL,41
CU Boulder iGem Team,STEM,,,,5
CU Boulder Racing Team,STEM,,,,205
CU Boulder RoboSub Team,STEM,,Thursday September 1st,Buff Pool,19
CU Cyber Club,STEM,,Every Wednesday @ 5pm ( 8/31/2022 ~ 12/07/2022),8/31~12/07 (DLC 1B20),13
CU Engineering World Health,STEM,,,,6
CU Hyperloop,STEM,,All-Team at 4 pm on Sundays,Engineering Center,12
CU Museum Club,STEM,,TBD,In-Person/Zoom,9
CU Mycology Club,STEM,,,,89
CU Physician Assistant Club,STEM,,,,22
CU Physics Olympiad,STEM,,,,3
CU Robotics,STEM,,Saturdays (4:00-7:00pm) & Tuesdays(6:30-9:30pm),CU Idea Forge,64
CU Rover Team,STEM,,Weekly on Tuesdays at 5:00pm,Discord,29
CU Social Psychology Lab,STEM,,,,21
CU Sounding Rocket Laboratory,STEM,,7:00 PM on Thursday,zoom - cu-srl.slack.com,165
CU Student Chapter of the Society of American Military Engineers,STEM,,,,5
CU Students for the Exploration and Development of Space,STEM,,,,14
CU Technology for Extreme Environments,STEM,,5-7pm Wednesdays,Aerospace Building,8
CU Wind Energy Club,STEM,,6-7 PM First Wednesday every Month,,8
CU Women in Computing,STEM,,,,28
CU-Prime,STEM,,,,7
Data Buffs,STEM,,,,35
Data Science Student Association,STEM,,,,9
Design Build Fly,STEM,,,,31
Design for America,STEM,,,,4
Earthquake Engineering Research Institute,STEM,,Varies (contact us for more info!),,1
Electrochemical Society at CU Boulder,STEM,,,,4
FPV Society At CU Boulder,STEM,,,,6
Global Surgery Student Alliance at CU Boulder,STEM,,5:30- 6:30,Refer to Discord/ Social Media,5
Google Developer Student Clubs University of Colorado Boulder,STEM,,,,3
HackCU,STEM,,,,6
HOSA - Future Health Professionals,STEM,,"monthly, 6pm",Gold A152,14
Illuminating Engineering Society,STEM,,,,5
Institute of Electrical and Electronics Engineers,STEM,,6:30 PM Wednesday Monthly,on Campus,10
Integrative Physiology Club,STEM,,,,6
Kappa Theta Pi,STEM,,Monday 7:00-8:00,KOBL,1
LeetCode Club,STEM,,Tuesday @ 7PM,DLC 1B65,7
Materials Research Society,STEM,,,SEEC N321,22
National Society of Black Engineers,STEM,,Biweekly from 6-7 pm on Thursdays,BOLD Center in the Engineering Center,9
Neuroscience Club,STEM,,Tuesdays at 5pm (biweekly),TBD,61
"oSTEM @ the University of Colorado, Boulder",STEM,,"Wednesdays, 7-8 PM",In-person: BOLD Center (ECCE 100) / Virtual (link posted to Discord),21
Pre-Vet Club,STEM,,7:00pm,Zoom // TBA,2
Psychedelic Club,STEM,,,,139
Public Health Hub,STEM,,6:30 pm every Monday,HLMS 185,8
REDTAC Squadron - The Composite Aircraft Build At CU,STEM,,TBD,TBD,6
Science Community Outreach Program and Education,STEM,,,,3
Science Under The Dome (SciDome),STEM,,,,18
Server Development,STEM,,,,4
Society for Industrial and Applied Mathematics Graduate Chapter,STEM,,,,5
Society of Asian Scientists and Engineers,STEM,,Every other Tuesday from 7-8pm (starting August 30th),The BOLD Center at the Engineering Center,5
Society of Hispanic Professional Engineers,STEM,,Wednesday 6:00PM-7:00PM (biweekly starting 9/07/22),BOLD Center,7
Society of Women Engineers CU Boulder,STEM,,6:00 - 7:00 PM every Tuesday,BOLD Center,58
Solar Decathlon,STEM,,Wednesdays 6:15pm,ECCE 1B41,20
STEM Routes,STEM,,,,12
STEMinar,STEM,,,,2
"Strategies for Ecology, Education, Diversity and Sustainability",STEM,,,,6
Supra: A Space Force Club,STEM,,6:00pm Thursdays,STAD 136C,14
T9hacks,STEM,,TBD,TBD,6
Tau Beta Pi,STEM,,7-8pm,Engineering Center,3
The Flying Club at CU,STEM,,"Tuesday February 28th, 2023 6-7pm",ECCR 151,27
Theta Tau,STEM,,,,10
Women in Construction,STEM,,Monday 8PM-9PM,ECCR 108,7
Women in Cybersecurity (WiCyS - CU Boulder Chapter),STEM,,Last Friday of Every Month,Zoom,5
Women of Aeronautics and Astronautics,STEM,,7:00 PM,Bold Center,29
Women of Color in STEM,STEM,,5:30 PM - 6:30 PM every other Thursday,On Campus TBD,14
Center for Student Involvement,University Programs,,,,7
The Bold Center,University Programs,,,,9
University Memorial Center,University Programs,,,,2
Conference on World Affairs,University Programs,,,,26
CU GOLD (Gaining Opportunities through Leadership Development),University Programs,,,,46
Cultural Events Board,University Programs,,,,119
Distinguished Speakers Board,University Programs,,,,9
INFO Buffs,University Programs,,,,6
Leeds Dean's Student Cabinet,University Programs,,,,6
The Herd Leadership Council,University Programs,,,,29
